"Planet_number";"P_name";"star_idx";"Mass";"RELATIVE DENSITY";"RADIUS";"terrain type";"TYPE OF CLIMATE"
696;"Whalecaller San";3651;0,42;0,939;0,76;"ash:fungus forest";"artic:rocky:superheated:hot:artificial temperate"
697;"Titanic Mirage VIII";6881;7,52;1,268;1,81;"verdant";"subartic"
698;"Yugure Radiance Shi";5835;0,92;1,248;0,9;"reef";"hot"
699;"Yugure Radiance San";5835;1,51;0,915;1,18;"urban:sea:reef:verdant";"frozen:rocky:windy:hot:frigid"
700;"Komorebi XVII";894;2,69;0,931;1,42;"verdant";"rocky:windy:tropical:subartic"
701;"Cervantes Quintal";5113;5,37;0,842;1,85;"tundra:vine:urban";"artificial temperate:hot:windy:rocky:superheated"
702;"Cervantes Nonal";5113;5,37;0,791;1,89;"rocky canyon:ash:verdant:jungle:city";"artic:arid:superheated"
703;"Cervantes Quartal";8401;2,9;1,083;1,39;"cliff:fungus forest:barren:glacier";"tropical:arid:frozen:subartic:windy"
704;"Yozora Labyrinth Kappa";6504;9,21;1,293;1,92;"acid pool:plateau:mountain";"rocky:artificial temperate"
705;"Mintaka Titanos";7940;2,02;0,721;1,41;"rocky canyon:lakes:rocky desert:ocean";"superheated:temperate:tropical:humid:hot"
706;"Chamukuy Nonal";1016;3,56;1,102;1,48;"rainforest";"arid:temperate:frigid:tropical:windy:humid"
707;"Montuno Phi";3993;3,19;1,105;1,42;"cliff:ocean:plateau";"temperate:superheated:humid:artic"
708;"Montuno Omega";3993;5,08;0,439;2,26;"urban:rocky island:cityscape";"hot:humid"
709;"Montuno Psi";3993;1,14;1,053;1,03;"acid pool:rocky desert:savanna:rock arche";"humid:artic:windy:hot"
710;"Luminous Wraith Iota";5030;0,44;0,733;0,84;"island:grassy hill";"humid:arid:superheated:frigid"
711;"Luminous Wraith Chi";5030;8,03;0,755;2,2;"island:lakes:tundra:bog";"rocky:temperate:subartic"
712;"Radiancea Duodecimal";759;1,95;1,254;xx;"verdant:vine:bog:rock arche:savanna";"hot:frozen:subartic:windy:frigid"
713;"Radiancea Decimal";759;5,97;1,171;1,72;"sea:river:ice cave";"humid:subartic"
714;"Abyssal Echo Liu";7591;5,12;xx;1,88;"forest:vine";"windy:temperate"
715;"Abyssal Echo Shi";7591;2,4;1,219;1,25;"mountain:plateau:hill:field:lava river:plain";"tropical:hot:arid:humid:superheated:windy:artificial temperate"
716;"Abyssal Echo Yi";7591;1,58;0,791;1,26;"toxic cloudsea";"frozen:artic:subartic:hot"
717;"Abyssal Echo Wu";7591;3,1;0,933;1,49;"cave:valley";"arid"
718;"Lilii Borea Nonal";2474;4,84;0,866;1,77;"hill:plateau:river:plain:lava river:ice canyon:toxic cloudsea";"superheated:hot:rocky:tropical:frozen"
719;"Lilii Borea Octal";2474;2,35;0,882;1,39;"barren:canyons:rainforest:river:ice cave";"rocky:hot:temperate:arid:frozen:tropical"
720;"Cor Caroli Hecatean";1960;1,44;1,204;1,06;"plateau:plain";"artificial temperate:artic:tropical:superheated"
721;"Yildun Vigesimal";9371;1,25;0,544;1,32;"valley:cliff:acid pool:plain:jungle";"windy:frozen:humid:hot:tropical"
722;"Yildun Septimal";9371;3,67;0,836;1,64;"plateau:city";"rocky:arid:artificial temperate"
723;"Arkab Prior Prime";9874;8,49;0,997;2,04;"field";"hot:temperate:subartic:tropical"
724;"Arkab Prior Septimal";9874;1,57;1,11;1,12;"plateau:barren:cliff:valley";"rocky:frozen:arid"
725;"Nemea Residue Museios";9353;2,17;0,978;1,3;"lakes:rock arche";"windy:artificial temperate:temperate"
726;"Absolutno XXI";3072;4,49;1,012;1,64;"cave:lakes";"subartic:artic:windy"
727;"Tsuki's Nebula Vigesimal";9045;2,35;0,89;1,38;"forest:rock arche:urban:field:ocean";"frozen:artic:temperate"
728;"Tsuki's Nebula Nonal";9045;0,94;0,965;0,99;"field:plain:rocky island:rainforest:verdant:valley:plateau";"subartic:tropical:hot:humid:artic"
729;"Kaus Borealis Beta";8681;4,95;0,841;1,81;"mountain:lakes";"frozen:subartic"
730;"Kaus Borealis Omicron";8681;3,15;0,793;1,58;"toxic cloudsea:lakes:island";"artic:frigid:subartic:hot"
731;"Samurai's Veil Decimal";2007;1,17;xx;1,11;"forest:urban:plain:acid pool";"tropical:superheated:subartic:humid"
732;"Samurai's Veil Vigesimal";2007;8,04;xx;2,46;"plateau:desert";"humid:superheated:frozen:tropical"
733;"Intercrus Sextant";334;6,35;1,475;1,63;"valley:plain:ice canyon";"arid:frigid:frozen:windy:subartic"
734;"Intercrus Quintal";334;3,44;0,721;1,68;"rock arche:verdant";"frigid:humid:arid"
735;"Intercrus Vigesimal";334;4,97;0,972;1,72;"ocean:rock arche:reef";"tropical:frigid:temperate:hot:subartic"
736;"Intercrus Secant";334;5,21;1,266;1,6;"ice cave";"temperate:tropical:arid:artificial temperate:humid:frozen:artic"
737;"Cosmic Whispers VII";3228;6,63;0,716;2,1;"mountain";"temperate:frozen"
738;"Elysian Anomaly Harpian";4103;1,43;0,831;1,2;"fungus forest";"hot"
739;"Aldulfin VI";7972;1,8;0,45;1,59;"mountain:verdant";"humid:artic"
740;"Sadalsuud Pi";9419;3,02;0,944;1,47;"ocean:tundra:lakes";"humid:arid:frigid"
741;"Sadalsuud Rho";9419;5,45;1,356;1,59;"river:cave:ice canyon:ice cave:verdant";"subartic:humid:arid:hot:windy"
742;"Sadalsuud Delta";9419;2,96;0,546;1,76;"rocky canyon:valley:volcano:ice canyon:hill:bog";"subartic:tropical:windy:temperate:superheated"
743;"Sadalsuud Omicron";9419;1,36;0,928;1,14;"ocean:savanna:jungle";"humid:tropical"
744;"Alsephina Shi";7476;0,69;1,367;0,8;"volcano:forest:lava river:hill";"artic:windy:superheated:tropical"
745;"Atik Sigma";9164;2,4;0,657;1,54;"cityscape:plateau";"artic:rocky"
746;"Atik Iota";9164;1,91;0,781;1,35;"island:savanna";"temperate:windy:hot"
747;"Atik Epsilon";9164;4,13;0,859;1,69;"vine:reef";"hot:superheated"
748;"Anadolu Mu";9533;1,74;1,175;1,14;"canyons";"hot"
749;"Ignitara Janusian";4006;1,52;1,519;1;"ice canyon:rainforest:barren:sinkholes:rock arche:toxic cloudsea";"hot:subartic:temperate:superheated:arid:frozen"
750;"Ignitara Titanos";4006;7,33;1,333;1,77;"ocean:tundra:river:canyons";"tropical:frigid:windy:hot"
751;"Ignitara Psychean";4006;1,24;1,209;1,01;"river:grassland:city:sea:cliff";"temperate:artic:subartic:arid"
752;"Algedi Psi";7321;0,92;1,026;0,96;"ice canyon";"frozen:tropical:rocky:windy"
753;"Celestrium Ba";2088;4,13;xx;2,76;"plain";"frozen"
754;"Celestrium Shi";2088;5,08;0,891;1,79;"fungus forest";"windy:humid"
755;"Celestrium Liu";2088;6,9;0,813;2,04;"rocky island:tundra:rocky desert:sinkholes:rock arche";"arid:superheated:windy:rocky"
756;"Celestrium Jiu";2088;7,53;0,918;2,02;"island:cliff";"temperate:artificial temperate:hot:windy"
757;"Tesserion Mu";7368;1,46;0,679;1,29;"lava river";"subartic:arid"
758;"Riftwarder II";4878;5,82;1,054;1,77;"ice cave:plateau:swamp:savanna:valley";"subartic:artic:humid:tropical:artificial temperate"
759;"Umbra Veil Museios";6994;7,49;0,563;2,37;"glacier:sea:tundra:jungle:valley:rocky canyon:canyons";"frigid:arid:windy:artificial temperate:hot:subartic"
760;"Umbra Veil Astraeos";6994;3,36;0,763;1,64;"grassy hill:cityscape";"hot:temperate:rocky"
761;"Jishui Delta";5588;3,76;1,021;1,54;"sea:river:savanna:lakes";"subartic:artic:frigid:rocky"
762;"Jishui Beta";5588;8,94;xx;2,28;"jungle:forest:ocean:tundra:fungus forest";"hot:humid:frigid:artificial temperate"
763;"Jishui Omega";5588;2,38;0,718;1,49;"sea:jungle:plateau";"hot:artificial temperate"
764;"Jishui Zeta";5588;4,67;1,184;xx;"island";"rocky:hot:arid"
765;"Kiri Horizon Cerberian";5157;1,98;1,144;1,2;"urban";"artic:temperate:frigid"
766;"Kiri Horizon Helios";5157;2,37;1,136;1,28;"rainforest:mountain:ice cave";"tropical:frigid:artificial temperate"
767;"Kiri Horizon Athenian";5157;1,64;0,867;1,24;"river:ice canyon:valley:ice cave:sinkholes:tundra";"tropical:windy:rocky:frigid:frozen:hot"
768;"Kiri Horizon Pantheon";5157;0,67;0,789;0,95;"mountain:island";"temperate"
769;"Acrab Artemian";2192;1,67;1,289;1,09;"verdant:reef";"subartic:windy:hot:frozen"
770;"Acrab Atlasios";2192;3,91;1,498;xx;"urban:ice cave";"hot:subartic"
771;"Eaglecrest Gaian";4263;3,32;1,336;1,35;"hill:field:urban:rocky desert:ash:cliff";"superheated:frigid:arid:windy:artificial temperate"
772;"Almaaz Er";4546;2,92;0,653;1,65;"sea:verdant:bog";"frozen:humid"
773;"Almaaz San";4546;7,92;1,077;1,94;"vine:rocky canyon:cityscape:ash:rocky island";"superheated:humid:frozen:arid:temperate:artificial temperate"
774;"Astraflame Faunios";4243;3,18;0,867;1,54;"rocky island:ice cave";"windy:temperate:artificial temperate:frigid"
775;"Quasarlynx Lambda";606;1,69;1,228;1,11;"valley:toxic cloudsea";"humid:temperate:frozen:tropical:hot:arid"
776;"Sheliak Octal";730;1,04;0,874;1,06;"glacier:ocean:acid pool:rocky canyon:plateau";"frigid:temperate:rocky:artificial temperate"
777;"Aegis Cryptic Harpian";9548;0,77;1,133;0,88;"ash";"artificial temperate:frozen:hot:humid:subartic"
778;"Aegis Cryptic Athenian";9548;0,71;0,732;0,99;"tundra:lakes";"frozen:artic:tropical:artificial temperate:rocky"
779;"Márohu Janusian";4515;4,32;1,092;1,58;"lakes:plain:jungle:acid pool:field:hill:rocky island:swamp";"subartic:humid:tropical:frigid:hot"
780;"Galactic Ember Epsilon";9500;3,93;0,907;1,63;"vine:urban:hill";"temperate:subartic:hot"
781;"Bastet's Horizon Olympios";2983;7,66;0,582;2,36;"lakes:valley";"rocky:windy:artic"
782;"Tesserara Shi";9322;2,18;0,993;1,3;"ice canyon:lakes";"hot:subartic"
783;"Tesserara Ba";9322;0,59;0,635;0,98;"cliff:acid pool";"superheated:artic"
784;"Sora Seraph XII";3451;5,76;1,273;1,65;"tundra";"tropical:artic"
785;"Sora Seraph XIV";3451;2,75;1,263;1,3;"rock arche:verdant:vine:plain";"artic:artificial temperate:subartic:windy:tropical"
786;"Quasarionara Helios";6276;0,53;1,128;0,78;"cliff";"subartic:artificial temperate:windy:artic:humid"
787;"Aldhibah Olympus";1602;7,84;0,925;2,04;"canyons:swamp:rock arche";"humid:rocky"
788;"Aldhibah Selenean";1602;2,28;1,417;1,17;"vine:field:plain";"humid:hot:superheated:artic"
789;"Phantasma Duodecimal";5676;4,08;1,436;1,42;"scrubland:lava river:sea";"humid:arid:subartic:frozen:artificial temperate"
790;"Phantasma Nonal";5676;5,45;1,304;1,61;"cityscape:bog:field";"temperate:tropical:subartic"
791;"Ascella Er";2883;2,05;1,024;1,26;"valley:hill:river:volcano:cityscape";"subartic:superheated:frigid"
792;"Helian Nebula Helios";7000;9,34;1,271;1,94;"toxic cloudsea";"tropical:hot:frozen:rocky:arid:temperate:windy"
793;"Algieba Lambda";1096;9,2;1,021;2,08;"verdant:urban:cave";"temperate:superheated"
794;"Algieba Kappa";1096;1,43;0,76;1,23;"field:rocky canyon";"artificial temperate:subartic"
795;"Darkonium Tau";8622;6,88;0,931;1,95;"island";"temperate:frozen"
796;"Lyraflux XIII";1578;1,05;0,617;1,19;"mountain";"frigid:hot"
797;"Nefertiti's Nebula Sirenios";5854;6,33;1,147;1,77;"plain:bog:toxic cloudsea";"artic:temperate:subartic:hot"
798;"Lich Mu";7168;0,8;0,616;1,09;"lava river";"artic:arid:frigid"
799;"Lich Chi";7168;4,57;0,811;1,78;"ocean:field:plain";"superheated:humid"
800;"Lich Omicron";7168;1,55;1,19;1,09;"rocky canyon:sinkholes:lava river";"tropical:windy:superheated:temperate"
801;"Lich Pi";7168;1,62;0,86;1,23;"field:island:lakes";"rocky:artificial temperate:arid:humid"
802;"Hannya Cosmos XXI";6014;1,61;0,795;1,27;"hill:city:river:vine";"artificial temperate:superheated:arid:frigid"
803;"Hannya Cosmos XIII";6014;0,97;0,977;1;"hill:lakes:forest:rocky island:sea:jungle";"hot:superheated:rocky:tropical"
804;"Galaxaraith Qi";3341;5,03;0,845;1,81;"jungle";"temperate:arid:hot:humid"
805;"Galaxaraith Er";3341;9,52;1,633;1,8;"rocky island:island:desert:lakes:jungle";"rocky:hot:superheated"
806;"Galaxaraith Jiu";3341;3,12;0,477;xx;"scrubland:cave:cliff:cityscape:field:bog:rocky island:urban:volcano:ice cave";"frigid:rocky:artic:subartic:artificial temperate:arid:temperate"
807;"Mirach XX";2642;5,52;1,225;1,65;"rocky canyon:sinkholes:lava river:ice cave";"artic:hot:frigid:superheated:temperate:tropical"
808;"Mirach VII";2642;3,22;0,939;1,51;"vine:desert:ice canyon:volcano";"artic:hot:temperate"
809;"Mirach III";2642;7,31;1,185;1,83;"rainforest:grassland:glacier:cave";"humid:rocky:frigid:arid"
810;"Eclipsara XXII";7813;4,14;0,941;1,64;"rocky desert";"temperate:frozen:artificial temperate"
811;"Nusakan VII";5400;2,41;1,133;1,29;"verdant:lava river:valley";"artificial temperate:subartic:rocky:arid:artic"
812;"Nusakan XII";5400;1,62;0,745;1,3;"lakes:urban:sea";"temperate:artificial temperate:arid:tropical"
813;"Nusakan XXII";5400;2,05;0,623;1,49;"desert:sea:cliff:city:vine:verdant";"arid:windy:hot:subartic:artificial temperate"
814;"Orionara Ba";6317;4,47;0,644;1,91;"plateau:ice canyon:reef";"artic:frozen:frigid"
815;"Orionara Liu";6317;6,95;0,822;2,04;"city:cityscape:mountain:reef:volcano:hill";"artic:arid:temperate:rocky:frigid:windy"
816;"Kachō XX";1340;7,17;1,012;1,92;"rocky island:ice cave:verdant:glacier";"frigid:hot:rocky:temperate"
817;"Alpheratz XXII";5896;4,42;0,861;1,73;"lakes:plateau:grassy hill:jungle:ocean:sea:volcano:vine";"artificial temperate:hot:rocky:frozen:windy:arid"
818;"Blizzardclaw Yi";274;8,77;1,617;1,76;"savanna:desert";"tropical:arid:humid:artificial temperate:hot"
819;"Guniibuu Upsilon";5181;7,96;1,24;1,86;"fungus forest:valley:rocky desert:toxic cloudsea:ice canyon:river:cliff";"rocky:hot:superheated:frozen:subartic"
820;"Guniibuu Chi";5181;2,96;1,132;1,38;"cliff:volcano:acid pool";"rocky:arid"
821;"Guniibuu Rho";5181;1,42;0,528;1,39;"ice cave";"frozen:humid"
822;"Guniibuu Beta";5181;0,6;0,949;0,86;"cityscape:city:cave";"hot:frigid:arid:humid"
823;"Yozora Persephonian";8333;0,51;1,171;0,76;"savanna";"superheated:artic:frozen"
824;"Liesma Pi";8208;2,83;1,082;1,38;"city";"tropical:artificial temperate:temperate:frigid:humid:windy"
825;"Liesma Mu";8208;5,73;0,675;2,04;"urban:ocean";"frigid:rocky"
826;"Liesma Omicron";8208;2,9;1,454;1,26;"field:river:jungle:rocky desert:hill:jungle";"frozen:tropical:windy:artificial temperate:arid"
827;"Liesma Tau";8208;1,58;1,434;1,03;"cliff";"artic:hot:frozen:tropical"
828;"Uchū Veil Sextant";2758;1,92;0,777;1,35;"rocky canyon:urban";"arid:windy"
829;"Uchū Veil Quartal";2758;9,7;0,909;2,2;"rocky desert:rocky canyon";"tropical:superheated:arid"
830;"Pipirima Janusian";7767;5,17;0,781;1,88;"sinkholes:rocky island:vine";"temperate:arid:artificial temperate:hot"
831;"Lunacara Faunios";3813;7,98;0,689;2,26;"grassland:toxic cloudsea:hill:ash:plateau:rock arche:valley:tundra:rocky desert:cityscape:rainforest";"rocky:arid:frigid:superheated:humid:subartic:artic"
832;"Lunacara Chimeraean";3813;2,34;0,815;1,42;"rock arche:cliff:fungus forest:river";"frozen:superheated:tropical:artic:arid"
833;"Lunacara Eosian";3813;1,9;0,829;1,32;"cityscape:lava river:urban:plateau:tundra:desert";"humid:frozen:superheated:artificial temperate"
834;"Lunacara Artemian";3813;3,09;1,078;1,42;"cityscape:scrubland:city";"artificial temperate:rocky:arid:hot"
835;"Brimwarden Hermesios";6298;7,28;0,889;2,02;"plain:cliff";"subartic"
836;"Nihal Shi";7306;2,94;1,066;1,4;"tundra";"frigid:artificial temperate:artic:subartic"
837;"Nihal Liu";7306;7,35;0,868;2,04;"canyons:rocky canyon";"subartic:temperate"
838;"Solarion San";4159;0,59;1,716;0,7;"verdant:ice canyon:lava river:hill:swamp:ocean:plateau:city:forest:lakes";"humid:arid:artic:subartic:artificial temperate:hot:temperate"
839;"Solarion Liu";4159;1,38;1,142;1,07;"canyons:plain:ocean";"hot:artificial temperate:frozen:subartic"
840;"Solarion Er";4159;3,64;0,962;1,56;"plateau:river";"subartic"
841;"Solarion Ba";4159;2,85;xx;1,41;"acid pool:hill:ice cave:cave";"superheated:frigid:hot:subartic"
842;"Ra's Whisper Beta";8467;3;0,942;1,47;"swamp:mountain";"humid:temperate"
843;"Ra's Whisper Mu";8467;1,95;0,756;1,37;"volcano:canyons:verdant:cave:lakes";"rocky:hot:artificial temperate:temperate"
844;"Ra's Whisper Alpha";8467;7,09;1,181;1,82;"fungus forest:river:sea:toxic cloudsea:sinkholes";"humid:hot:frozen"
845;"Seth's Enigma Mu";8980;9,73;0,618;2,51;"ash:field:grassy hill:ice cave";"subartic:hot:temperate:tropical"
846;"Lurking Whispers X";7675;1,29;1,141;1,04;"mountain";"arid:hot:frigid:temperate:humid:artificial temperate"
847;"Cosmogon Enigma Tertial";9902;2,22;1,487;1,14;"glacier:rocky desert:reef";"frozen:windy:artificial temperate"
848;"Cosmogon Enigma Vigesimal";9902;3,2;0,949;1,5;"jungle:mountain";"hot:windy"
849;"Tojil Museios";9778;1,85;0,824;1,31;"urban:toxic cloudsea:ice canyon:hill";"frigid:artic:superheated:windy:hot"
850;"Abyssal Mirage Hestian";6097;2,57;0,947;1,39;"grassy hill:scrubland:cliff:rocky canyon";"temperate:subartic:windy:arid:frozen"
851;"Abyssal Mirage Chimeraean";6896;2,4;0,875;1,4;"jungle:bog:reef:grassy hill:jungle:desert:volcano";"artic:hot:tropical:subartic:artificial temperate:frozen"
852;"Phoenicia Tertial";9547;0,51;1,284;0,74;"field:forest";"artificial temperate:windy:rocky:hot"
853;"Phoenicia Sextant";9547;6,55;1,068;1,83;"scrubland";"superheated:arid:frigid"
854;"Phoenicia Septimal";9547;4,45;0,706;1,85;"rocky island:sea:island:plateau:forest";"subartic:frozen:humid"
855;"Phoenicia Decimal";9547;1,3;1,045;1,08;"rocky island:verdant:cliff:bog:sea";"frozen:arid:hot:humid:temperate"
856;"Ignitionix Olympus";8064;6,29;1,363;1,66;"city";"hot:frozen:artificial temperate:temperate:artic"
857;"Muliphein Morphean";8446;1,07;0,93;1,05;"canyons:desert:plateau:rocky canyon:cave";"rocky:temperate:artificial temperate:superheated"
858;"Tupi Jiu";8786;2,16;0,954;1,31;"volcano:vine:forest";"tropical:superheated:subartic:artic:temperate"
859;"Tupi Ba";8786;2,1;0,815;1,37;"lakes:valley:plain";"arid:artic:windy:frigid"
860;"Sadalbari XXI";4442;9,57;0,692;2,4;"tundra:lakes:cliff:forest:cave";"tropical:artic:frozen:arid:superheated:frigid:subartic"
861;"Koeia Psi";7661;1,71;1,349;1,08;"volcano:vine:reef:river:verdant:lava river:grassy hill:field";"artificial temperate:subartic:hot:superheated:temperate:humid"
862;"Koeia Alpha";7661;3,23;0,677;1,68;"river:rocky island:hill:plateau:bog:ocean";"arid:artificial temperate:hot:superheated"
863;"Koeia Mu";7661;2,22;1,192;xx;"swamp:lakes";"tropical"
864;"Azha Hermesios";6399;8,76;0,714;2,31;"ice canyon:sinkholes:plain:city:barren:hill:plateau";"arid:frigid:hot:windy:frozen:rocky"
865;"Azha Tritonian";6399;4,95;1,131;1,64;"cliff:cityscape:jungle:verdant:ice canyon:sea:swamp";"subartic:frozen:humid:artic:tropical"
866;"Elysiumix XXI";9072;1,25;0,93;1,1;"desert:mountain:bog:city";"tropical:arid:humid"
867;"Quantronix Septimal";4057;6,42;1,147;1,78;"cliff";"temperate:arid:humid"
868;"Quantronix Octal";4057;1,34;1,465;0,97;"hill";"frigid"
869;"Quantronix Vigesimal";4057;1,59;0,83;1,24;"cave:toxic cloudsea:city:jungle";"humid:tropical:frozen"
870;"Nebulionara Psi";4807;2,58;0,556;1,67;"jungle:field:acid pool:rocky desert";"superheated:subartic:tropical:humid:hot:frozen"
871;"Skaldspark Shi";4884;0,79;0,71;1,04;"plateau:ice cave:forest";"temperate:frigid"
872;"Aetheronix Upsilon";4378;1,46;0,958;1,15;"forest";"artic:frigid:temperate:artificial temperate:tropical:subartic"
873;"Aetheronix Gamma";4378;9,37;0,796;2,27;"desert:volcano:urban:vine:verdant";"temperate:arid:windy:tropical"
874;"Sulafat Xi";2216;5,5;1,06;1,73;"lakes:city:reef:island";"temperate:tropical:artificial temperate"
875;"Alrescha Shi";210;1,01;0,513;1,25;"rocky desert:ocean:lakes:ice cave:hill";"windy:artic:frigid:subartic"
876;"Alrescha Ba";210;2,51;0,754;1,49;"cityscape:field:bog:mountain";"temperate:hot:humid:rocky"
877;"Blizzardrider IV";9983;1,47;0,642;1,32;"cityscape:rock arche:verdant";"artic:subartic:windy"
878;"Blizzardrider I";9983;2,77;0,88;1,47;"valley:reef:glacier";"windy:rocky:subartic:temperate"
879;"Skyforged Undecimal";6073;2,6;0,981;1,38;"ice canyon:acid pool:ash";"superheated:frigid:artic"
880;"Symbionara Upsilon";5057;1;0,892;1,04;"ash:acid pool:ocean:reef:mountain";"rocky:superheated:windy:tropical"
881;"Symbionara Eta";5057;5,65;1,127;1,71;"jungle:urban:valley:lakes:jungle:plateau";"tropical:humid:frozen:temperate:rocky"
882;"Lerna Qi";8725;5,98;0,765;1,98;"river:hill:grassy hill:city:sea:island:ice canyon";"rocky:tropical:subartic:artificial temperate:windy:artic"
883;"Lerna Wu";8725;4,24;1,139;1,55;"lakes:river:urban";"tropical:hot"
884;"Crimson Void Xi";3832;1,51;1,338;1,04;"volcano";"arid"
885;"Symbionix VII";297;5,69;0,987;1,79;"vine:lakes";"artic:rocky:subartic:frozen"
886;"Quantum Mirage Gamma";8549;1,97;0,572;1,51;"cliff:lakes:urban";"subartic:frigid"
887;"Quantum Mirage Upsilon";8549;2,88;0,837;1,51;"vine:rocky canyon";"arid:temperate:artic"
888;"Yami Silence Typhonian";6698;1,69;1,54;1,03;"forest:glacier:ash:desert:grassland:cave";"subartic:rocky:humid:hot:artificial temperate:tropical"
889;"Amansinaya Nonal";2066;2,84;1,133;1,36;"acid pool:desert:sea:lava river:scrubland:fungus forest:rocky desert";"superheated:artificial temperate:windy:hot:arid:rocky"
890;"Amansinaya Secant";2066;3,77;1,205;1,46;"rock arche:field";"rocky:windy:frigid:arid:frozen:temperate:superheated"
891;"Amansinaya Sextant";3268;1,42;1,276;1,04;"desert:cliff";"subartic:superheated"
892;"Spectral Threshold Si";2757;0,89;0,972;0,97;"lakes:urban:lava river:reef";"temperate:superheated:windy:artificial temperate"
893;"Stardrax Psychean";8078;1,21;0,484;1,36;"tundra:forest";"frigid:temperate:artificial temperate:arid"
894;"Meissa Upsilon";7390;4,16;0,864;1,69;"glacier";"rocky:frozen:superheated:temperate:windy"
895;"Meissa Nu";7390;1,87;0,926;1,26;"urban:ice canyon:plateau:rocky desert:city";"artic:windy:subartic:frozen"
896;"Alhena Apollox";8959;8,58;0,856;2,16;"toxic cloudsea:forest:field:river";"frozen:rocky:humid"
897;"Aladfar Tritonian";7867;1,39;1,212;1,05;"cityscape:city:rainforest:field";"tropical:superheated:frigid"
898;"Ephemeral Phoenix Omega";39;7,54;0,995;1,96;"mountain:hill:reef:ash:ocean:canyons:river:vine:tundra:grassy hill:ice cave";"superheated:frigid:humid:rocky:artificial temperate:temperate:hot"
899;"Ephemeral Phoenix Lambda";39;5,11;0,769;1,88;"cliff:bog:ice canyon:lakes:plain";"hot:temperate:frigid:windy"
900;"Arcanix Dionian";5567;3,82;0,918;1,61;"city:ice canyon:canyons";"rocky:superheated:frozen"
901;"Phantasmal Abyss Theta";8678;9,22;1,028;2,08;"lakes:jungle:vine:jungle:savanna:swamp:rocky canyon:sinkholes";"tropical:frigid:superheated:rocky:arid"
902;"Phantasmal Abyss Epsilon";8678;3,06;0,862;1,53;"sea:island";"frigid:tropical:windy:hot"
903;"Alterf Olympus";9383;7,37;0,344;2,78;"field";"artificial temperate:frigid:frozen:humid:superheated"
904;"Asterion Abyss XVI";5600;3,57;0,789;1,65;"savanna";"artic:rocky:windy"
905;"Meridiana II";9206;2,82;1,123;1,36;"valley:cityscape:rocky desert";"hot:humid"
906;"Meridiana XXII";9206;7,07;1,204;1,8;"city:valley";"artificial temperate:humid:superheated:frigid"
907;"Meridiana I";9206;4,12;0,532;1,98;"grassy hill:reef:river";"rocky:hot:frozen"
908;"Bonsai Gaze Octal";1113;2,8;1,055;1,38;"glacier:forest:vine:urban:grassy hill";"artificial temperate:superheated:temperate:rocky:artic"
909;"Bonsai Gaze Septimal";1113;1,41;0,788;1,21;"rocky island:cave";"arid:rocky:frigid"
910;"Titawin Theta";8045;2,16;xx;1,16;"island:ocean";"superheated:subartic:artificial temperate:rocky:hot"
911;"Wezen Shi";2014;3,15;0,584;1,75;"bog:plain:rocky island:forest";"subartic:temperate:arid:artificial temperate:artic"
912;"Kamikaze Ascendance Zephyrian";2114;0,71;1,089;0,87;"plateau:sea:cave:valley:field:mountain:tundra:rocky desert:cliff";"subartic:frigid:frozen:humid:tropical:artic"
913;"Kamikaze Ascendance Helios";2114;1,16;0,772;1,15;"lakes";"subartic:tropical:frigid:artic:rocky"
914;"Torii Shadows Alpha";4058;7,65;0,865;2,07;"hill";"artificial temperate:frozen:subartic:windy"
915;"Saclateni Alpha";3265;8,22;1,241;1,88;"rocky canyon";"frigid:superheated:windy:artificial temperate"
916;"Saclateni Pi";3265;3,68;0,82;1,65;"desert:rocky island";"rocky:windy"
917;"Saclateni Zeta";3265;1,13;0,755;1,14;"cave:city";"subartic:hot:humid:frozen"
918;"Mouhoun XIV";1804;7,06;0,874;2,01;"cave";"frigid:artic:hot:windy:subartic:rocky"
919;"Mouhoun XIX";1804;3,18;1,241;1,37;"reef:island:toxic cloudsea:hill:urban:grassy hill";"artic:rocky:artificial temperate:arid"
920;"Thuban Selenean";6901;1,38;0,559;1,35;"ocean:valley:lava river";"artic:frigid:hot:superheated:frozen:humid"
921;"Yoru Ascendance Tritonian";769;2,77;0,929;1,44;"savanna:ocean:island";"subartic:windy:artificial temperate:rocky:frozen"
922;"Nebulous Enigma Chi";4670;3,96;1,08;1,54;"ice cave";"frozen:artic:arid:superheated"
923;"Nebulous Enigma Theta";4670;3,5;xx;1,66;"plain";"artic"
924;"Diya Apollox";8040;1,34;0,969;1,11;"rock arche:rocky island:savanna:grassy hill";"humid:artificial temperate:arid"
925;"Igniflux Olympios";2871;2,8;1,343;1,28;"rocky desert:plain:ice canyon:hill:valley:verdant:rock arche:jungle";"superheated:artic:frozen:humid:subartic"
926;"Nebulithium Chi";2579;1,82;0,651;1,41;"field:plateau:cave:mountain:swamp:fungus forest:island";"artificial temperate:subartic:superheated:tropical:humid"
927;"Aetherionyx Nyxios";1076;5,57;1,18;1,68;"ice canyon:forest:grassland:plateau";"subartic:artificial temperate:windy:temperate:rocky"
928;"Aetherionyx Centaurios";1076;1,5;1,149;1,09;"sea:lava river:volcano";"frigid:arid:humid:rocky"
929;"Aljanah Septimal";3735;9,1;1,057;2,05;"grassy hill:ocean";"artificial temperate"
930;"Aljanah Decimal";3735;0,38;1,009;0,72;"ocean";"subartic:windy:hot:superheated:arid:temperate"
